127.0.0.1 - - [29/Jan/2021:20:19:45 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:19:46 +0300] "GET /Accounting/ HTTP/1.1" 200 3714
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:19:46 +0300] "GET /Accounting/include/css/AdminLTE.min.css HTTP/1.1" 200 91475
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:19:46 +0300] "GET /Accounting/include/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:19:46 +0300] "GET /Accounting/include/Ionicons/css/ionicons.min.css HTTP/1.1" 200 51284
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:19:46 +0300] "GET /Accounting/include/vendor/jquery/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:19:46 +0300] "GET /Accounting/include/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:19:46 +0300] "GET /Accounting/include/iCheck/square/blue.css HTTP/1.1" 200 1611
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:19:46 +0300] "GET /Accounting/include/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84152
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:19:46 +0300] "GET /Accounting/include/iCheck/icheck.min.js HTTP/1.1" 200 4516
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:19:47 +0300] "GET /Accounting/include/iCheck/square/blue.png HTTP/1.1" 200 2185
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:19:47 +0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:21:18 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:21:18 +0300] "GET /Accounting/pages/index.jsp HTTP/1.1" 200 5188
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:21:18 +0300] "GET /Accounting/include/css/simple-sidebar.css HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:21:18 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:21:23 +0300] "GET /Accounting/pages/dashboard.jsp HTTP/1.1" 200 20657
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:21:23 +0300] "GET /Accounting/include/select2/select2.min.js HTTP/1.1" 200 73164
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:21:23 +0300] "GET /Accounting/include/js/jquery.dataTables.min.js HTTP/1.1" 200 86732
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:21:23 +0300] "GET /Accounting/include/js/dataTables.bootstrap4.min.js HTTP/1.1" 200 4532
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:21:23 +0300] "GET /Accounting/include/select2/select2.min.css HTTP/1.1" 200 16263
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:21:23 +0300] "GET /Accounting/include/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 5242
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:21:23 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:21:23 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:21:23 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [29/Jan/2021:20:21:23 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 275
