127.0.0.1 - - [06/Feb/2021:16:31:18 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:20 +0300] "GET /Accounting/ HTTP/1.1" 200 3714
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:20 +0300] "GET /Accounting/include/Ionicons/css/ionicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:20 +0300] "GET /Accounting/include/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:20 +0300] "GET /Accounting/include/css/AdminLTE.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:20 +0300] "GET /Accounting/include/iCheck/square/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:20 +0300] "GET /Accounting/include/iCheck/icheck.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:20 +0300] "GET /Accounting/include/iCheck/square/blue.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:20 +0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:34 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:34 +0300] "GET /Accounting/pages/index.jsp HTTP/1.1" 200 5188
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:35 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:40 +0300] "GET /Accounting/pages/dashboard.jsp HTTP/1.1" 200 21957
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:40 +0300] "GET /Accounting/include/css/dataTables.bootstrap4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:40 +0300] "GET /Accounting/include/select2/select2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:40 +0300] "GET /Accounting/include/select2/select2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:40 +0300] "GET /Accounting/include/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:40 +0300] "GET /Accounting/include/js/dataTables.bootstrap4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:41 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:41 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:41 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:41 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:53 +0300] "GET /Accounting/pages/sellandbuy.jsp HTTP/1.1" 200 23375
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:53 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:53 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:53 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:53 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:53 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:53 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:53 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:54 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:57 +0300] "GET /Accounting/pages/businesspartners.jsp HTTP/1.1" 200 13741
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:57 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:57 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:58 +0300] "GET /Accounting/pages/cashboxes.jsp HTTP/1.1" 200 14627
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:59 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:31:59 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:32:00 +0300] "GET /Accounting/pages/stockmovements.jsp HTTP/1.1" 200 23777
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:32:00 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:32:00 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:32:01 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:32:01 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 1985
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:32:02 +0300] "GET /Accounting/pages/dashboard.jsp HTTP/1.1" 200 21957
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:32:02 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:32:02 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:32:02 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [06/Feb/2021:16:32:02 +0300] "POST /Accounting/AccountingServlet HTTP/1.1" 200 406
